aux_beta1_om_mult,aux_beta2_om_mult,aux_cooldown_frac,aux_lr_mult,aux_wd_peak,base_lr_scale,batch,batch_size,best_val_loss,case_id,cluster_name,code_package_id,container_image,coord,coord_value,data_id,failure_kind,gpuv,hardware_family,hidden_cooldown_frac,job_name,job_run_id,last_step,last_val_loss,last_val_step,log_source,matrix_beta1_om_mult,matrix_beta2_om_mult,matrix_lr_mult,matrix_wd_peak,num_val_points,precond_lr_mult,queue_name,recipe,runtime_cuda_driver,runtime_cuda_toolkit,runtime_device_type,runtime_host_ipv6,runtime_host_primary,runtime_node_spec,runtime_node_vendor,runtime_rdma_bigpod,runtime_rdma_minipod,runtime_rdma_switch,seed,shampoo_beta_om_mult,stamp,status,total_steps,train_steps,trial_id,wd_warmup_frac,wrapper_case_id
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.28477,0000_psgdh_core_512k_center_1,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,center,center,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-512k-20260828_1232:0000_psgdh_core_512k_center_1,b9123a83b3da0d70,3250,3.28477,3250,run_dir,2,1,0.707106781187,0,27,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,DONE,3250,3250,405408917,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.3493,0001_psgdh_core_512k_matrix_lr_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,0.353553390593,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-512k-20260828_1232:0001_psgdh_core_512k_matrix_lr_0p5,b9123a83b3da0d70,3250,3.3493,3250,run_dir,2,1,0.353553390593,0,27,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,DONE,3250,3250,405408917,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.31112,0002_psgdh_core_512k_matrix_lr_0p707106781187,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,0.5,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260828_1524:0002_psgdh_core_512k_matrix_lr_0p707106781187,d77acc52f21b7198,3250,3.31112,3250,run_dir+merlin_meta,2,1,0.5,0,27,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:78f4:ead1:f7cd:a394,26.152.19.10,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,df8cd95317cba1d2778b9ddef711281c,37e1f7c673ddf4b7bb6d714e7297b008,1,1,pretraining_psgdh_pcd_512k_r1_recovery4_ladder_20260828_1524,DONE,3250,3250,405420630,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.2744,0003_psgdh_core_512k_matrix_lr_1p41421356237,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,1,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-512k-20260828_1232:0003_psgdh_core_512k_matrix_lr_1p41421356237,b9123a83b3da0d70,3250,3.2744,3250,run_dir,2,1,1,0,27,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,DONE,3250,3250,405408917,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.28248,0004_psgdh_core_512k_matrix_lr_2,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,1.41421356237,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-512k-20260828_1232:0004_psgdh_core_512k_matrix_lr_2,b9123a83b3da0d70,3250,3.28248,3250,run_dir,2,1,1.41421356237,0,27,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,DONE,3250,3250,405408917,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.28377,0005_psgdh_core_512k_precond_lr_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,0.5,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260828_1524:0005_psgdh_core_512k_precond_lr_0p5,d77acc52f21b7198,3250,3.28377,3250,run_dir+merlin_meta,2,1,0.707106781187,0,27,0.5,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:78f4:ead1:f7cd:a394,26.152.19.10,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,df8cd95317cba1d2778b9ddef711281c,37e1f7c673ddf4b7bb6d714e7297b008,1,1,pretraining_psgdh_pcd_512k_r1_recovery4_ladder_20260828_1524,DONE,3250,3250,405420630,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.28345,0006_psgdh_core_512k_precond_lr_0p707106781187,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,0.707106781187,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-512k-20260828_1232:0006_psgdh_core_512k_precond_lr_0p707106781187,b9123a83b3da0d70,3250,3.28345,3250,run_dir,2,1,0.707106781187,0,27,0.707106781187,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,DONE,3250,3250,405408917,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.2865,0007_psgdh_core_512k_precond_lr_1p41421356237,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,1.41421356237,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260828_1524:0007_psgdh_core_512k_precond_lr_1p41421356237,d77acc52f21b7198,3250,3.2865,3250,run_dir+merlin_meta,2,1,0.707106781187,0,27,1.41421356237,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:78f4:ead1:f7cd:a394,26.152.19.10,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,df8cd95317cba1d2778b9ddef711281c,37e1f7c673ddf4b7bb6d714e7297b008,1,1,pretraining_psgdh_pcd_512k_r1_recovery4_ladder_20260828_1524,DONE,3250,3250,405420630,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.29055,0008_psgdh_core_512k_precond_lr_2,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,2,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-512k-20260828_1232:0008_psgdh_core_512k_precond_lr_2,b9123a83b3da0d70,3250,3.29055,3250,run_dir,2,1,0.707106781187,0,27,2,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,DONE,3250,3250,405408917,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.27762,0009_psgdh_core_512k_matrix_beta1_om_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_beta1_om,1,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-512k-20260828_1232:0009_psgdh_core_512k_matrix_beta1_om_0p5,b9123a83b3da0d70,3250,3.27762,3250,run_dir,1,1,0.707106781187,0,27,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,DONE,3250,3250,405408917,0,packed_manifest
